day,bucket,flow_type,net_qty,price,usd_value
2020-10-19,Top 201-300,INFLOW,2219.379226521964,40.81557679,90585.243246238
2020-10-19,Top 301-500,INFLOW,1787.255211701988,40.81557679,72947.8523365502
2020-10-19,Top 501-1000,INFLOW,1917.1121104616875,40.81557679,78248.03655958796
2020-10-20,Top 1-100,INFLOW,826352.2819576913,36.01996184,29765177.66251296
2020-10-20,Top 101-200,INFLOW,1759.0825905800448,36.01996184,63362.087786101554
2020-10-20,Top 201-300,INFLOW,3419.88785081306,36.01996184,123184.22988336605
2020-10-20,Top 301-500,INFLOW,1048.408724439416,36.01996184,37763.64224703084
2020-10-20,Top 501-1000,INFLOW,2152.3564897640363,36.01996184,77527.79862737693
2020-10-21,Top 1-100,OUTFLOW,-640850.8789595915,32.12202916,20585430.621151622
2020-10-21,Top 101-200,INFLOW,4770.582565919246,32.12202916,153240.79229264564
2020-10-21,Top 201-300,INFLOW,1987.6379101436723,32.12202916,63846.96290915649
2020-10-21,Top 301-500,INFLOW,3337.0920847228745,32.12202916,107194.16925507336
2020-10-21,Top 501-1000,INFLOW,3057.2145576458875,32.12202916,98203.93516907768
2020-10-22,Top 1-100,INFLOW,15798.329557666157,35.0364557,553517.4736811708
2020-10-22,Top 101-200,INFLOW,9685.194730427744,35.0364557,339334.89611850504
2020-10-22,Top 201-300,INFLOW,5988.0513756072605,35.0364557,209800.09675078784
2020-10-22,Top 301-500,INFLOW,2790.380681751534,35.0364557,97765.04914232342
2020-10-22,Top 501-1000,INFLOW,3664.401040925791,35.0364557,128387.62473743036
2020-10-23,Top 1-100,INFLOW,27894.552949779754,38.11763958,1063274.5155849303
2020-10-23,Top 101-200,INFLOW,7458.754556843749,38.11763958,284310.1179134527
2020-10-23,Top 201-300,OUTFLOW,-350.7883537888524,38.11763958,13371.224038585004
2020-10-23,Top 301-500,INFLOW,1082.210148627793,38.11763958,41251.29639521245
2020-10-23,Top 501-1000,INFLOW,1577.2183917823677,38.11763958,60119.84219690752
2020-10-24,Top 1-100,INFLOW,28089.229802958034,41.55540876,1167259.4262154954
2020-10-24,Top 101-200,INFLOW,1867.4633594921588,41.55540876,77603.20324801949
2020-10-24,Top 201-300,INFLOW,1176.1089415945426,41.55540876,48873.68781425218
2020-10-24,Top 301-500,INFLOW,485.711016192382,41.55540876,20183.91981710941
2020-10-24,Top 501-1000,INFLOW,1557.4565403535137,41.55540876,64720.74316032569
2020-10-25,Top 1-100,INFLOW,26329.636335305084,39.40554781,1037533.7434307776
2020-10-25,Top 101-200,INFLOW,2459.1083658275056,39.40554781,96902.51227958676
2020-10-25,Top 201-300,INFLOW,657.4368336159359,39.40554781,25906.65857910778
2020-10-25,Top 301-500,INFLOW,1831.258244564544,39.40554781,72161.73430864481
2020-10-25,Top 501-1000,INFLOW,1124.055860765597,39.40554781,44294.03696250943
2020-10-26,Top 1-100,INFLOW,201839.3139043845,37.91293837,7652321.468700013
2020-10-26,Top 101-200,INFLOW,4284.098114137021,37.91293837,162422.7477723101
2020-10-26,Top 201-300,OUTFLOW,-342.4820807986412,37.91293837,12984.502022148245
2020-10-26,Top 301-500,INFLOW,2128.129885033461,37.91293837,80683.65717462881
2020-10-26,Top 501-1000,INFLOW,1323.9031518866263,37.91293837,50193.05860532641
2020-10-27,Top 1-100,INFLOW,26665.75540234167,36.01102832,960261.2729679188
2020-10-27,Top 101-200,INFLOW,4952.418391526651,36.01102832,178341.6789497551
2020-10-27,Top 201-300,INFLOW,1962.2329219423752,36.01102832,70662.02532250322
2020-10-27,Top 301-500,INFLOW,262.9571155767685,36.01102832,9469.356135980524
2020-10-27,Top 501-1000,INFLOW,496.5209447149116,36.01102832,17880.229801601836
2020-10-28,Top 1-100,INFLOW,85360.0179100854,34.87947525,2977312.6320343805
2020-10-28,Top 101-200,INFLOW,2849.6036299733105,34.87947525,99392.67928396424
2020-10-28,Top 201-300,INFLOW,3227.397432021616,34.87947525,112569.9288521115
2020-10-28,Top 301-500,OUTFLOW,-974.5751109745948,34.87947525,33992.66846250438
2020-10-28,Top 501-1000,INFLOW,899.9874127879755,34.87947525,31391.08868964972
2020-10-29,Top 1-100,INFLOW,15504.67356669494,32.40750684,502467.8146646335
2020-10-29,Top 101-200,OUTFLOW,-7808.78677293943,32.40750684,253063.3107561361
2020-10-29,Top 201-300,OUTFLOW,-1710.7394940445135,32.40750684,55440.80185470572
2020-10-29,Top 301-500,INFLOW,3379.1650387373643,32.40750684,109510.31410637002
2020-10-29,Top 501-1000,INFLOW,1968.8335253077644,32.40750684,63804.98593823269
2020-10-30,Top 1-100,INFLOW,17870.09285719763,29.18164135,521478.640649938
2020-10-30,Top 101-200,INFLOW,2931.2514162267694,29.18164135,85538.72753500915
2020-10-30,Top 201-300,INFLOW,1464.902290353934,29.18164135,42748.25324990207
2020-10-30,Top 301-500,INFLOW,3198.2394156932432,29.18164135,93329.87558019378
2020-10-30,Top 501-1000,INFLOW,2579.228734237084,29.18164135,75266.12788212104
2020-10-31,Top 1-100,OUTFLOW,-10079.7987291233,31.09806869,313462.2732596511
2020-10-31,Top 101-200,INFLOW,64.60735718188425,31.09806869,2009.1640315216007
2020-10-31,Top 201-300,INFLOW,741.9880889571605,31.09806869,23074.39655755161
2020-10-31,Top 301-500,OUTFLOW,-54.30223974661294,31.09806869,1688.6947816610175
2020-10-31,Top 501-1000,INFLOW,128.14081517425484,31.09806869,3984.931872281572
2020-11-01,Top 1-100,INFLOW,36022.57176933852,29.67128364,1068835.9444103
2020-11-01,Top 101-200,INFLOW,389.9790152390151,29.67128364,11571.1779748047
2020-11-01,Top 201-300,INFLOW,1842.147979451216,29.67128364,54658.89520514991
2020-11-01,Top 301-500,INFLOW,1978.1572699787928,29.67128364,58694.46544206884
2020-11-01,Top 501-1000,OUTFLOW,-207.63049398457952,29.67128364,6160.663279329772
2020-11-02,Top 1-100,OUTFLOW,-8545.132700367598,30.56016728,261140.684753032
2020-11-02,Top 101-200,INFLOW,6993.950863511645,30.56016728,213736.30833701635
2020-11-02,Top 201-300,INFLOW,1340.0811424532524,30.56016728,40953.1038821449
2020-11-02,Top 301-500,INFLOW,1719.92813473966,30.56016728,52561.29150722239
2020-11-02,Top 501-1000,INFLOW,3146.641637522542,30.56016728,96161.894812902
2020-11-03,Top 1-100,INFLOW,12297.461824027498,29.76881619,366080.8806430167
2020-11-03,Top 101-200,INFLOW,650.1211734980079,29.76881619,19353.337715089296
2020-11-03,Top 201-300,INFLOW,3776.291870957174,29.76881619,112415.73858631532
2020-11-03,Top 301-500,INFLOW,1284.8087162335885,29.76881619,38247.23451286756
2020-11-03,Top 501-1000,INFLOW,1674.7030373070547,29.76881619,49853.926890428425
2020-11-04,Top 1-100,OUTFLOW,-79860.8493552331,28.06815843,2241546.9720570464
2020-11-04,Top 101-200,INFLOW,8525.57941769777,28.06815843,239297.31380348816
2020-11-04,Top 201-300,OUTFLOW,-204.61098556306115,28.06815843,5743.053559302443
2020-11-04,Top 301-500,INFLOW,2032.2730581350409,28.06815843,57042.16216875493
2020-11-04,Top 501-1000,INFLOW,1823.9520318773368,28.06815843,51194.974599453504
2020-11-05,Top 1-100,OUTFLOW,-36949.70217250055,27.66075358,1022056.6066479284
2020-11-05,Top 101-200,INFLOW,3310.688663391547,27.66075358,91576.14329817316
2020-11-05,Top 201-300,INFLOW,5799.209381494123,27.66075358,160410.50166033316
2020-11-05,Top 301-500,OUTFLOW,-371.0561951233744,27.66075358,10263.693977640058
2020-11-05,Top 501-1000,INFLOW,1722.6510732792965,27.66075358,47649.82684230114
2020-11-06,Top 1-100,INFLOW,8221.356214739862,31.1130852,255791.75636875085
2020-11-06,Top 101-200,INFLOW,4489.288280019689,31.1130852,139675.60874361405
2020-11-06,Top 201-300,OUTFLOW,-3608.7344807886375,31.1130852,112278.86336495464
2020-11-06,Top 301-500,INFLOW,2711.161743116488,31.1130852,84352.60630456379
2020-11-06,Top 501-1000,INFLOW,2606.6991714476035,31.1130852,81102.4534120187
2020-11-07,Top 1-100,INFLOW,11421.589290712507,38.24739227,436846.0059487124
2020-11-07,Top 101-200,INFLOW,2705.0938798868347,38.24739227,103462.78675120804
2020-11-07,Top 201-300,INFLOW,4032.6484762707432,38.24739227,154238.2881589449
2020-11-07,Top 301-500,INFLOW,1807.471918826104,38.24739227,69131.08749635161
2020-11-07,Top 501-1000,INFLOW,2064.9539481974844,38.24739227,78979.10367619444
2020-11-08,Top 1-100,INFLOW,1407.2042202641387,44.77800208,63011.79350197238
2020-11-08,Top 101-200,INFLOW,885.315112897064,44.77800208,39642.641966760166
2020-11-08,Top 201-300,INFLOW,4151.808262942818,44.77800208,185909.6790338147
2020-11-08,Top 301-500,INFLOW,1103.4545096404709,44.77800208,49410.488327866384
2020-11-08,Top 501-1000,INFLOW,2742.490430625349,44.77800208,122803.24220692196
2020-11-09,Top 1-100,INFLOW,4496.514286508216,53.65677541,241268.45719902776
2020-11-09,Top 101-200,INFLOW,2293.379664815624,53.65677541,123055.35760487302
2020-11-09,Top 201-300,OUTFLOW,-1320.6741687088906,53.65677541,70863.1172602014
