day,bucket,flow_type,net_qty,price,usd_value
2025-02-03,Top 501-1000,INFLOW,135929.19893616365,1.38723685,188565.993755227
2025-02-04,Top 1-100,OUTFLOW,-503089.32406543987,1.415798392,712273.0560442166
2025-02-04,Top 101-200,INFLOW,206533.88562541222,1.415798392,292410.3431619705
2025-02-04,Top 201-300,INFLOW,463501.4610458636,1.415798392,656224.6232383843
2025-02-04,Top 301-500,INFLOW,141840.68199081297,1.415798392,200817.80948277636
2025-02-04,Top 501-1000,INFLOW,57993.92820823933,1.415798392,82107.71030298868
2025-02-05,Top 1-100,INFLOW,1010694.86746587,1.318664273,1332767.212631713
2025-02-05,Top 101-200,INFLOW,931990.3284207848,1.318664273,1228982.3488700255
2025-02-05,Top 201-300,INFLOW,98225.83075839991,1.318664273,129526.89370684646
2025-02-05,Top 301-500,OUTFLOW,-83999.60453301587,1.318664273,110767.27744381687
2025-02-05,Top 501-1000,INFLOW,13458.800368530385,1.318664273,17747.63920342025
2025-02-06,Top 1-100,INFLOW,240958.42801774997,1.28768879,310279.46661447856
2025-02-06,Top 101-200,OUTFLOW,-353618.81547463994,1.28768879,455350.9846197724
2025-02-06,Top 201-300,OUTFLOW,-239949.96705505205,1.28768879,308980.88273765985
2025-02-06,Top 301-500,INFLOW,27303.638918918907,1.28768879,35158.5897620996
2025-02-06,Top 501-1000,INFLOW,50562.665989263754,1.28768879,65108.978186889195
2025-02-07,Top 1-100,OUTFLOW,-530690.9064859693,1.198203177,635875.5301564983
2025-02-07,Top 101-200,INFLOW,1307868.4623973002,1.198203177,1567092.14674255
2025-02-07,Top 201-300,INFLOW,47478.587564279995,1.198203177,56888.99445899298
2025-02-07,Top 301-500,INFLOW,59652.349458546174,1.198203177,71475.63463674425
2025-02-07,Top 501-1000,INFLOW,60316.08507277118,1.198203177,72270.9247583967
2025-02-08,Top 1-100,OUTFLOW,-78513.82990292998,1.204279438,94552.5909507281
2025-02-08,Top 101-200,INFLOW,324730.9670939601,1.204279438,391066.82655311073
2025-02-08,Top 201-300,OUTFLOW,-7610.640050370699,1.204279438,9165.337322680716
2025-02-08,Top 301-500,OUTFLOW,-46596.36677548247,1.204279438,56115.0463932199
2025-02-08,Top 501-1000,OUTFLOW,-87242.43278959389,1.204279438,105064.2679296049
2025-02-09,Top 1-100,OUTFLOW,-518465.50619293994,1.251648938,648936.8002160257
2025-02-09,Top 101-200,INFLOW,211347.57553783,1.251648938,264532.9684707997
2025-02-09,Top 201-300,INFLOW,74048.02644284954,1.251648938,92682.13365818854
2025-02-09,Top 301-500,INFLOW,60929.302855432004,1.251648938,76262.09721208183
2025-02-09,Top 501-1000,OUTFLOW,-21565.07157720773,1.251648938,26991.89893750604
2025-02-10,Top 1-100,OUTFLOW,-1443092.411173658,1.223696619,1765907.3044577632
2025-02-10,Top 101-200,OUTFLOW,-1195867.413149747,1.223696619,1463378.9102436216
2025-02-10,Top 201-300,INFLOW,12398.688909060002,1.223696619,15172.233698049524
2025-02-10,Top 301-500,INFLOW,27882.21333864471,1.223696619,34119.370192736234
